true_id,probe_file,probe_path,run_seed,failures,w_clean,w_black,saliency_path,error
Bridget_Fonda,Bridget_Fonda_0002.jpg,data/lfw-deepfunneled/Bridget_Fonda/Bridget_Fonda_0002.jpg,1340700,0.0,0.635895311832428,-0.009671960026025772,results/rise_baseline/rise_baseline_Bridget_Fonda_Bridget_Fonda_0002_N1000_s8_p0.5_seed1340700_saliency_norm.npy,
Leslie_Caldwell,Leslie_Caldwell_0002.jpg,data/lfw-deepfunneled/Leslie_Caldwell/Leslie_Caldwell_0002.jpg,1340800,0.0,0.6287922859191895,0.048885248601436615,results/rise_baseline/rise_baseline_Leslie_Caldwell_Leslie_Caldwell_0002_N1000_s8_p0.5_seed1340800_saliency_norm.npy,
Gil_de_Ferran,Gil_de_Ferran_0005.jpg,data/lfw-deepfunneled/Gil_de_Ferran/Gil_de_Ferran_0005.jpg,1340900,0.0,0.5926945209503174,0.04526461660861969,results/rise_baseline/rise_baseline_Gil_de_Ferran_Gil_de_Ferran_0005_N1000_s8_p0.5_seed1340900_saliency_norm.npy,
Imad_Moustapha,Imad_Moustapha_0002.jpg,data/lfw-deepfunneled/Imad_Moustapha/Imad_Moustapha_0002.jpg,1341000,0.0,0.8580989837646484,-0.0011027473956346512,results/rise_baseline/rise_baseline_Imad_Moustapha_Imad_Moustapha_0002_N1000_s8_p0.5_seed1341000_saliency_norm.npy,
Hu_Jintao,Hu_Jintao_0012.jpg,data/lfw-deepfunneled/Hu_Jintao/Hu_Jintao_0012.jpg,1341100,0.0,0.6250923871994019,-0.02062002569437027,results/rise_baseline/rise_baseline_Hu_Jintao_Hu_Jintao_0012_N1000_s8_p0.5_seed1341100_saliency_norm.npy,
Gary_Forsee,Gary_Forsee_0002.jpg,data/lfw-deepfunneled/Gary_Forsee/Gary_Forsee_0002.jpg,1341200,0.0,0.7053036093711853,-0.024067062884569168,results/rise_baseline/rise_baseline_Gary_Forsee_Gary_Forsee_0002_N1000_s8_p0.5_seed1341200_saliency_norm.npy,
Art_Howe,Art_Howe_0003.jpg,data/lfw-deepfunneled/Art_Howe/Art_Howe_0003.jpg,1341300,0.0,0.813058614730835,-0.019533518701791763,results/rise_baseline/rise_baseline_Art_Howe_Art_Howe_0003_N1000_s8_p0.5_seed1341300_saliency_norm.npy,
Thomas_Birmingham,Thomas_Birmingham_0001.jpg,data/lfw-deepfunneled/Thomas_Birmingham/Thomas_Birmingham_0001.jpg,1341400,0.0,0.6439948081970215,0.017635341733694077,results/rise_baseline/rise_baseline_Thomas_Birmingham_Thomas_Birmingham_0001_N1000_s8_p0.5_seed1341400_saliency_norm.npy,
Ludivine_Sagnier,Ludivine_Sagnier_0005.jpg,data/lfw-deepfunneled/Ludivine_Sagnier/Ludivine_Sagnier_0005.jpg,1341500,0.0,0.5932989120483398,0.02625465765595436,results/rise_baseline/rise_baseline_Ludivine_Sagnier_Ludivine_Sagnier_0005_N1000_s8_p0.5_seed1341500_saliency_norm.npy,
LK_Advani,LK_Advani_0003.jpg,data/lfw-deepfunneled/LK_Advani/LK_Advani_0003.jpg,1341600,0.0,0.6043139100074768,0.03599109128117561,results/rise_baseline/rise_baseline_LK_Advani_LK_Advani_0003_N1000_s8_p0.5_seed1341600_saliency_norm.npy,
