output_path,identity,generation_method,blend_alpha,saliency_path,w_clean,failures
data/synthetic_probes/insightface_swap/Christine_Gregoire/Christine_Gregoire_swap_1.jpg,Christine_Gregoire,insightface_swap,,results/crise_maps/crise_tau0p1_Christine_Gregoire_Christine_Gregoire_swap_1_N1000_s8_p0.5_seed420022_saliency_norm.npy,0.029262199997901917,0
data/synthetic_probes/insightface_swap/Christine_Gregoire/Christine_Gregoire_swap_2.jpg,Christine_Gregoire,insightface_swap,,results/crise_maps/crise_tau0p1_Christine_Gregoire_Christine_Gregoire_swap_2_N1000_s8_p0.5_seed420023_saliency_norm.npy,0.026348670944571495,0
data/synthetic_probes/insightface_swap/Stephen_Friedman/Stephen_Friedman_swap_0.jpg,Stephen_Friedman,insightface_swap,,results/crise_maps/crise_tau0p1_Stephen_Friedman_Stephen_Friedman_swap_0_N1000_s8_p0.5_seed420024_saliency_norm.npy,-0.05102211982011795,0
data/synthetic_probes/insightface_swap/Stephen_Friedman/Stephen_Friedman_swap_1.jpg,Stephen_Friedman,insightface_swap,,results/crise_maps/crise_tau0p1_Stephen_Friedman_Stephen_Friedman_swap_1_N1000_s8_p0.5_seed420025_saliency_norm.npy,-0.0815371572971344,0
data/synthetic_probes/insightface_swap/Stephen_Friedman/Stephen_Friedman_swap_2.jpg,Stephen_Friedman,insightface_swap,,results/crise_maps/crise_tau0p1_Stephen_Friedman_Stephen_Friedman_swap_2_N1000_s8_p0.5_seed420026_saliency_norm.npy,-0.050113897770643234,0
data/synthetic_probes/insightface_swap/Bruce_Weber/Bruce_Weber_swap_0.jpg,Bruce_Weber,insightface_swap,,results/crise_maps/crise_tau0p1_Bruce_Weber_Bruce_Weber_swap_0_N1000_s8_p0.5_seed420027_saliency_norm.npy,0.11026213318109512,0
data/synthetic_probes/insightface_swap/Bruce_Weber/Bruce_Weber_swap_1.jpg,Bruce_Weber,insightface_swap,,results/crise_maps/crise_tau0p1_Bruce_Weber_Bruce_Weber_swap_1_N1000_s8_p0.5_seed420028_saliency_norm.npy,-0.022563807666301727,0
data/synthetic_probes/insightface_swap/Bruce_Weber/Bruce_Weber_swap_2.jpg,Bruce_Weber,insightface_swap,,results/crise_maps/crise_tau0p1_Bruce_Weber_Bruce_Weber_swap_2_N1000_s8_p0.5_seed420029_saliency_norm.npy,0.11006772518157959,0
data/synthetic_probes/insightface_swap/Robert_Horan/Robert_Horan_swap_0.jpg,Robert_Horan,insightface_swap,,results/crise_maps/crise_tau0p1_Robert_Horan_Robert_Horan_swap_0_N1000_s8_p0.5_seed420030_saliency_norm.npy,0.11336913704872131,0
data/synthetic_probes/insightface_swap/Robert_Horan/Robert_Horan_swap_1.jpg,Robert_Horan,insightface_swap,,results/crise_maps/crise_tau0p1_Robert_Horan_Robert_Horan_swap_1_N1000_s8_p0.5_seed420031_saliency_norm.npy,0.14332826435565948,0
data/synthetic_probes/insightface_swap/Robert_Horan/Robert_Horan_swap_2.jpg,Robert_Horan,insightface_swap,,results/crise_maps/crise_tau0p1_Robert_Horan_Robert_Horan_swap_2_N1000_s8_p0.5_seed420032_saliency_norm.npy,0.09223703294992447,0
data/synthetic_probes/insightface_swap/Steve_Waugh/Steve_Waugh_swap_0.jpg,Steve_Waugh,insightface_swap,,results/crise_maps/crise_tau0p1_Steve_Waugh_Steve_Waugh_swap_0_N1000_s8_p0.5_seed420033_saliency_norm.npy,0.09072335064411163,0
data/synthetic_probes/insightface_swap/Steve_Waugh/Steve_Waugh_swap_1.jpg,Steve_Waugh,insightface_swap,,results/crise_maps/crise_tau0p1_Steve_Waugh_Steve_Waugh_swap_1_N1000_s8_p0.5_seed420034_saliency_norm.npy,-0.013786496594548225,0
data/synthetic_probes/insightface_swap/Steve_Waugh/Steve_Waugh_swap_2.jpg,Steve_Waugh,insightface_swap,,results/crise_maps/crise_tau0p1_Steve_Waugh_Steve_Waugh_swap_2_N1000_s8_p0.5_seed420035_saliency_norm.npy,-0.04264724254608154,0
data/synthetic_probes/insightface_swap/Michelle_Kwan/Michelle_Kwan_swap_0.jpg,Michelle_Kwan,insightface_swap,,results/crise_maps/crise_tau0p1_Michelle_Kwan_Michelle_Kwan_swap_0_N1000_s8_p0.5_seed420036_saliency_norm.npy,0.11981958895921707,0
data/synthetic_probes/insightface_swap/Michelle_Kwan/Michelle_Kwan_swap_1.jpg,Michelle_Kwan,insightface_swap,,results/crise_maps/crise_tau0p1_Michelle_Kwan_Michelle_Kwan_swap_1_N1000_s8_p0.5_seed420037_saliency_norm.npy,0.04662482813000679,0
data/synthetic_probes/insightface_swap/Michelle_Kwan/Michelle_Kwan_swap_2.jpg,Michelle_Kwan,insightface_swap,,results/crise_maps/crise_tau0p1_Michelle_Kwan_Michelle_Kwan_swap_2_N1000_s8_p0.5_seed420038_saliency_norm.npy,-9.533576667308807e-05,0
data/synthetic_probes/insightface_swap/Bob_Beauprez/Bob_Beauprez_swap_0.jpg,Bob_Beauprez,insightface_swap,,results/crise_maps/crise_tau0p1_Bob_Beauprez_Bob_Beauprez_swap_0_N1000_s8_p0.5_seed420039_saliency_norm.npy,0.08829309046268463,0
data/synthetic_probes/insightface_swap/Bob_Beauprez/Bob_Beauprez_swap_1.jpg,Bob_Beauprez,insightface_swap,,results/crise_maps/crise_tau0p1_Bob_Beauprez_Bob_Beauprez_swap_1_N1000_s8_p0.5_seed420040_saliency_norm.npy,-0.034619346261024475,0
